"Date","CUUR0000SEHF01"
1913-12-01,45.5
1914-01-01,NA
1914-02-01,NA
1914-03-01,NA
1914-04-01,NA
1914-05-01,NA
1914-06-01,NA
1914-07-01,NA
1914-08-01,NA
1914-09-01,NA
1914-10-01,NA
1914-11-01,NA
1914-12-01,43.9
1915-01-01,NA
1915-02-01,NA
1915-03-01,NA
1915-04-01,NA
1915-05-01,NA
1915-06-01,NA
1915-07-01,NA
1915-08-01,NA
1915-09-01,NA
1915-10-01,NA
1915-11-01,NA
1915-12-01,42.7
1916-01-01,NA
1916-02-01,NA
1916-03-01,NA
1916-04-01,NA
1916-05-01,NA
1916-06-01,NA
1916-07-01,NA
1916-08-01,NA
1916-09-01,NA
1916-10-01,NA
1916-11-01,NA
1916-12-01,41.6
1917-01-01,NA
1917-02-01,NA
1917-03-01,NA
1917-04-01,NA
1917-05-01,NA
1917-06-01,NA
1917-07-01,NA
1917-08-01,NA
1917-09-01,NA
1917-10-01,NA
1917-11-01,NA
1917-12-01,40.5
1918-01-01,NA
1918-02-01,NA
1918-03-01,NA
1918-04-01,NA
1918-05-01,NA
1918-06-01,40.5
1918-07-01,NA
1918-08-01,NA
1918-09-01,NA
1918-10-01,NA
1918-11-01,NA
1918-12-01,42.7
1919-01-01,NA
1919-02-01,NA
1919-03-01,NA
1919-04-01,NA
1919-05-01,NA
1919-06-01,42.7
1919-07-01,NA
1919-08-01,NA
1919-09-01,NA
1919-10-01,NA
1919-11-01,NA
1919-12-01,42.2
1920-01-01,NA
1920-02-01,NA
1920-03-01,NA
1920-04-01,NA
1920-05-01,NA
1920-06-01,42.2
1920-07-01,NA
1920-08-01,NA
1920-09-01,NA
1920-10-01,NA
1920-11-01,NA
1920-12-01,43.3
1921-01-01,NA
1921-02-01,NA
1921-03-01,NA
1921-04-01,NA
1921-05-01,43.3
1921-06-01,NA
1921-07-01,NA
1921-08-01,NA
1921-09-01,43.3
1921-10-01,NA
1921-11-01,NA
1921-12-01,43.3
1922-01-01,NA
1922-02-01,NA
1922-03-01,43.3
1922-04-01,NA
1922-05-01,NA
1922-06-01,42.7
1922-07-01,NA
1922-08-01,NA
1922-09-01,42.7
1922-10-01,NA
1922-11-01,NA
1922-12-01,42.2
1923-01-01,NA
1923-02-01,NA
1923-03-01,42.2
1923-04-01,NA
1923-05-01,NA
1923-06-01,42.2
1923-07-01,NA
1923-08-01,NA
1923-09-01,41.6
1923-10-01,NA
1923-11-01,NA
1923-12-01,41.6
1924-01-01,NA
1924-02-01,NA
1924-03-01,41.6
1924-04-01,NA
1924-05-01,NA
1924-06-01,41.6
1924-07-01,NA
1924-08-01,NA
1924-09-01,41.6
1924-10-01,NA
1924-11-01,NA
1924-12-01,41.6
1925-01-01,NA
1925-02-01,NA
1925-03-01,NA
1925-04-01,NA
1925-05-01,NA
1925-06-01,41
1925-07-01,NA
1925-08-01,NA
1925-09-01,NA
1925-10-01,NA
1925-11-01,NA
1925-12-01,41
1926-01-01,NA
1926-02-01,NA
1926-03-01,NA
1926-04-01,NA
1926-05-01,NA
1926-06-01,40.5
1926-07-01,NA
1926-08-01,NA
1926-09-01,NA
1926-10-01,NA
1926-11-01,NA
1926-12-01,40.5
1927-01-01,NA
1927-02-01,NA
1927-03-01,NA
1927-04-01,NA
1927-05-01,NA
1927-06-01,39.9
1927-07-01,NA
1927-08-01,NA
1927-09-01,NA
1927-10-01,NA
1927-11-01,NA
1927-12-01,39.9
1928-01-01,NA
1928-02-01,NA
1928-03-01,NA
1928-04-01,NA
1928-05-01,NA
1928-06-01,39.3
1928-07-01,NA
1928-08-01,NA
1928-09-01,NA
1928-10-01,NA
1928-11-01,NA
1928-12-01,38.8
1929-01-01,NA
1929-02-01,NA
1929-03-01,NA
1929-04-01,NA
1929-05-01,NA
1929-06-01,37.7
1929-07-01,NA
1929-08-01,NA
1929-09-01,NA
1929-10-01,NA
1929-11-01,NA
1929-12-01,37.7
1930-01-01,NA
1930-02-01,NA
1930-03-01,NA
1930-04-01,NA
1930-05-01,NA
1930-06-01,37.1
1930-07-01,NA
1930-08-01,NA
1930-09-01,NA
1930-10-01,NA
1930-11-01,NA
1930-12-01,37.1
1931-01-01,NA
1931-02-01,NA
1931-03-01,NA
1931-04-01,NA
1931-05-01,NA
1931-06-01,36.5
1931-07-01,NA
1931-08-01,NA
1931-09-01,NA
1931-10-01,NA
1931-11-01,NA
1931-12-01,36.5
1932-01-01,NA
1932-02-01,NA
1932-03-01,NA
1932-04-01,NA
1932-05-01,NA
1932-06-01,36
1932-07-01,NA
1932-08-01,NA
1932-09-01,NA
1932-10-01,NA
1932-11-01,NA
1932-12-01,36.5
1933-01-01,NA
1933-02-01,NA
1933-03-01,NA
1933-04-01,NA
1933-05-01,NA
1933-06-01,36.5
1933-07-01,NA
1933-08-01,NA
1933-09-01,NA
1933-10-01,NA
1933-11-01,NA
1933-12-01,34.3
1934-01-01,NA
1934-02-01,NA
1934-03-01,NA
1934-04-01,NA
1934-05-01,NA
1934-06-01,33.2
1934-07-01,NA
1934-08-01,NA
1934-09-01,NA
1934-10-01,NA
1934-11-01,32.6
1934-12-01,NA
1935-01-01,NA
1935-02-01,32
1935-03-01,32
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,31.5
1935-08-01,NA
1935-09-01,NA
1935-10-01,31.1
1935-11-01,NA
1935-12-01,NA
1936-01-01,30.8
1936-02-01,NA
1936-03-01,NA
1936-04-01,30.6
1936-05-01,NA
1936-06-01,NA
1936-07-01,30.5
1936-08-01,NA
1936-09-01,30.4
1936-10-01,NA
1936-11-01,NA
1936-12-01,30.4
1937-01-01,NA
1937-02-01,NA
1937-03-01,29.9
1937-04-01,NA
1937-05-01,NA
1937-06-01,29.8
1937-07-01,NA
1937-08-01,NA
1937-09-01,29.8
1937-10-01,NA
1937-11-01,NA
1937-12-01,29.6
1938-01-01,NA
1938-02-01,NA
1938-03-01,29.5
1938-04-01,NA
1938-05-01,NA
1938-06-01,29.4
1938-07-01,NA
1938-08-01,NA
1938-09-01,29.4
1938-10-01,NA
1938-11-01,NA
1938-12-01,29.3
1939-01-01,NA
1939-02-01,NA
1939-03-01,29.1
1939-04-01,NA
1939-05-01,NA
1939-06-01,28.9
1939-07-01,NA
1939-08-01,NA
1939-09-01,28.9
1939-10-01,NA
1939-11-01,NA
1939-12-01,28.8
1940-01-01,NA
1940-02-01,NA
1940-03-01,28.8
1940-04-01,NA
1940-05-01,NA
1940-06-01,28.7
1940-07-01,NA
1940-08-01,NA
1940-09-01,28.5
1940-10-01,NA
1940-11-01,NA
1940-12-01,28.5
1941-01-01,28.5
1941-02-01,28.5
1941-03-01,28.5
1941-04-01,28.5
1941-05-01,28.5
1941-06-01,28.5
1941-07-01,28.4
1941-08-01,28.4
1941-09-01,28.3
1941-10-01,28.3
1941-11-01,28.3
1941-12-01,28.3
1942-01-01,28.3
1942-02-01,28.3
1942-03-01,28.3
1942-04-01,28.3
1942-05-01,28.3
1942-06-01,28.3
1942-07-01,28.3
1942-08-01,28.3
1942-09-01,28.3
1942-10-01,28.3
1942-11-01,28.3
1942-12-01,28.3
1943-01-01,28.3
1943-02-01,28.3
1943-03-01,28.3
1943-04-01,28.3
1943-05-01,28.3
1943-06-01,28.3
1943-07-01,28.3
1943-08-01,28.2
1943-09-01,28.2
1943-10-01,28.2
1943-11-01,28.2
1943-12-01,28.2
1944-01-01,28.2
1944-02-01,28.2
1944-03-01,28.2
1944-04-01,28.2
1944-05-01,28.2
1944-06-01,28
1944-07-01,28.2
1944-08-01,28.2
1944-09-01,28.2
1944-10-01,28.2
1944-11-01,28.2
1944-12-01,28.2
1945-01-01,28.2
1945-02-01,28.2
1945-03-01,28.2
1945-04-01,28.2
