"Date","CWSR0000SAE"
1993-01-01,84.7
1993-02-01,85
1993-03-01,85.2
1993-04-01,85.3
1993-05-01,85.7
1993-06-01,85.9
1993-07-01,86.2
1993-08-01,86.5
1993-09-01,86.7
1993-10-01,87
1993-11-01,87.2
1993-12-01,87.6
1994-01-01,87.7
1994-02-01,88.3
1994-03-01,88.4
1994-04-01,88.6
1994-05-01,88.9
1994-06-01,89.2
1994-07-01,89.4
1994-08-01,89.6
1994-09-01,89.7
1994-10-01,89.9
1994-11-01,90
1994-12-01,90.3
1995-01-01,91.4
1995-02-01,91.4
1995-03-01,91.5
1995-04-01,91.7
1995-05-01,91.8
1995-06-01,92.2
1995-07-01,92.4
1995-08-01,92.7
1995-09-01,93
1995-10-01,93.2
1995-11-01,93.4
1995-12-01,93.8
1996-01-01,94
1996-02-01,94.2
1996-03-01,94.6
1996-04-01,94.3
1996-05-01,95
1996-06-01,95.3
1996-07-01,95.5
1996-08-01,95.9
1996-09-01,96.1
1996-10-01,96.4
1996-11-01,96.6
1996-12-01,96.9
1997-01-01,97.3
1997-02-01,97.5
1997-03-01,97.8
1997-04-01,98
1997-05-01,98.3
1997-06-01,98.6
1997-07-01,98.8
1997-08-01,98.7
1997-09-01,99
1997-10-01,99.3
1997-11-01,99.6
1997-12-01,99.8
1998-01-01,99.8
1998-02-01,99.7
1998-03-01,100.1
1998-04-01,100.3
1998-05-01,100.6
1998-06-01,100.7
1998-07-01,100.8
1998-08-01,100.3
1998-09-01,100.5
1998-10-01,100.7
1998-11-01,100.9
1998-12-01,100.7
1999-01-01,100.7
1999-02-01,101
1999-03-01,101.1
1999-04-01,101.2
1999-05-01,101.1
1999-06-01,101.3
1999-07-01,101.4
1999-08-01,101.5
1999-09-01,101.8
1999-10-01,101.8
1999-11-01,102.2
1999-12-01,102.1
2000-01-01,102.9
2000-02-01,102.4
2000-03-01,102.3
2000-04-01,102.4
2000-05-01,102.5
2000-06-01,102.2
2000-07-01,102.8
2000-08-01,103
