"Date","CUSR0000SERA"
1994-01-01,96.7
1994-02-01,96.4
1994-03-01,96.3
1994-04-01,95.8
1994-05-01,95.9
1994-06-01,95.7
1994-07-01,95
1994-08-01,94.7
1994-09-01,94.6
1994-10-01,94.4
1994-11-01,94.5
1994-12-01,94.6
1995-01-01,95
1995-02-01,95
1995-03-01,94.9
1995-04-01,95.3
1995-05-01,95.9
1995-06-01,95
1995-07-01,94.9
1995-08-01,94.9
1995-09-01,95
1995-10-01,94.9
1995-11-01,95
1995-12-01,95
1996-01-01,94.8
1996-02-01,95.3
1996-03-01,95.5
1996-04-01,95.8
1996-05-01,96
1996-06-01,96.4
1996-07-01,97.3
1996-08-01,97.3
1996-09-01,97.4
1996-10-01,97.8
1996-11-01,97.9
1996-12-01,98.2
1997-01-01,98.2
1997-02-01,98.6
1997-03-01,98.7
1997-04-01,98.1
1997-05-01,98.8
1997-06-01,99.5
1997-07-01,99.8
1997-08-01,99.9
1997-09-01,100.2
1997-10-01,100.2
1997-11-01,100.6
1997-12-01,100.5
1998-01-01,100.8
1998-02-01,100.8
1998-03-01,101.1
1998-04-01,101.1
1998-05-01,101.1
1998-06-01,101.1
1998-07-01,101
1998-08-01,101
1998-09-01,101.7
1998-10-01,101.4
1998-11-01,101.1
1998-12-01,101.2
1999-01-01,101.4
1999-02-01,101.2
1999-03-01,100.9
1999-04-01,100.7
1999-05-01,100.8
1999-06-01,100.6
1999-07-01,100.5
1999-08-01,100.8
1999-09-01,100.4
1999-10-01,100.4
1999-11-01,100.5
1999-12-01,100.6
2000-01-01,100.5
2000-02-01,100.4
2000-03-01,100.6
2000-04-01,100
2000-05-01,101.1
2000-06-01,101.4
2000-07-01,101.2
2000-08-01,101.5
2000-09-01,101.8
2000-10-01,101.3
2000-11-01,101.3
2000-12-01,101.2
2001-01-01,101.2
2001-02-01,101.2
2001-03-01,101.3
2001-04-01,101.4
2001-05-01,101.3
2001-06-01,101.2
2001-07-01,101.7
2001-08-01,101.6
2001-09-01,101.5
2001-10-01,101.6
2001-11-01,101.7
2001-12-01,101.8
2002-01-01,102.2
2002-02-01,102.6
2002-03-01,102.6
2002-04-01,102.5
2002-05-01,102.7
2002-06-01,102.9
2002-07-01,102.5
2002-08-01,102.4
2002-09-01,102.6
2002-10-01,102.9
2002-11-01,103.3
2002-12-01,103.8
2003-01-01,103.5
2003-02-01,103.5
2003-03-01,103.4
2003-04-01,103.3
2003-05-01,103.4
2003-06-01,103.6
2003-07-01,103.7
2003-08-01,103.8
2003-09-01,103.8
2003-10-01,103.7
2003-11-01,104
2003-12-01,103.9
2004-01-01,103.8
2004-02-01,103.9
2004-03-01,104
2004-04-01,104.2
2004-05-01,104.2
2004-06-01,104.4
2004-07-01,104.4
2004-08-01,104.3
2004-09-01,104.3
2004-10-01,104.3
2004-11-01,104.2
2004-12-01,104.4
2005-01-01,104.6
2005-02-01,104.2
2005-03-01,104.3
2005-04-01,104.3
2005-05-01,104.2
2005-06-01,102.9
2005-07-01,103.1
2005-08-01,104.3
2005-09-01,104.5
2005-10-01,104.5
2005-11-01,104.4
2005-12-01,104.5
2006-01-01,104.5
2006-02-01,104.3
2006-03-01,104.9
2006-04-01,105.2
2006-05-01,105
2006-06-01,104.8
2006-07-01,104.8
2006-08-01,104.7
2006-09-01,104.5
2006-10-01,104.3
2006-11-01,104.1
2006-12-01,103.5
2007-01-01,103.269
2007-02-01,103.225
2007-03-01,102.585
2007-04-01,102.645
2007-05-01,103.178
2007-06-01,103.079
2007-07-01,102.639
2007-08-01,102.188
2007-09-01,102.765
2007-10-01,103.339
2007-11-01,103.106
2007-12-01,103.335
2008-01-01,103.556
2008-02-01,103.256
2008-03-01,103.22
2008-04-01,102.905
2008-05-01,102.588
2008-06-01,101.974
2008-07-01,102.014
2008-08-01,102.446
2008-09-01,102.706
2008-10-01,102.389
2008-11-01,102.256
2008-12-01,102.263
2009-01-01,101.904
2009-02-01,101.758
2009-03-01,101.691
2009-04-01,101.836
2009-05-01,101.618
2009-06-01,101.536
2009-07-01,101.437
2009-08-01,101.325
2009-09-01,100.789
2009-10-01,100.384
2009-11-01,100.602
2009-12-01,100.463
2010-01-01,100.483
2010-02-01,99.515
2010-03-01,99.56
2010-04-01,99.533
2010-05-01,99.159
2010-06-01,99.513
2010-07-01,99.063
2010-08-01,98.805
2010-09-01,98.642
2010-10-01,98.786
2010-11-01,98.671
2010-12-01,97.816
2011-01-01,97.883
2011-02-01,98.224
2011-03-01,98.314
2011-04-01,98.377
2011-05-01,98.257
2011-06-01,98.068
2011-07-01,98.439
2011-08-01,98.206
2011-09-01,98.578
2011-10-01,98.848
2011-11-01,98.796
2011-12-01,98.934
2012-01-01,99.258
2012-02-01,99.278
2012-03-01,99.362
2012-04-01,99.289
2012-05-01,99.4
2012-06-01,99.346
2012-07-01,99.412
2012-08-01,99.793
2012-09-01,99.893
2012-10-01,99.412
2012-11-01,99.35
2012-12-01,99.274
2013-01-01,99.499
2013-02-01,99.699
2013-03-01,99.675
2013-04-01,99.417
2013-05-01,99.508
2013-06-01,99.467
2013-07-01,99.557
2013-08-01,99.743
2013-09-01,99.823
2013-10-01,99.834
2013-11-01,100.116
2013-12-01,99.824
2014-01-01,99.954
2014-02-01,99.873
2014-03-01,99.986
2014-04-01,100.177
2014-05-01,100.14
2014-06-01,100.103
2014-07-01,99.781
2014-08-01,99.417
2014-09-01,99.589
2014-10-01,99.998
2014-11-01,99.506
2014-12-01,99.558
2015-01-01,99.657
2015-02-01,99.662
2015-03-01,99.381
2015-04-01,99.564
2015-05-01,99.454
2015-06-01,99.407
2015-07-01,99.478
2015-08-01,99.42
2015-09-01,99.657
2015-10-01,99.977
2015-11-01,99.94
2015-12-01,100.017
2016-01-01,99.879
2016-02-01,100.298
2016-03-01,100.757
2016-04-01,101.021
2016-05-01,101.191
2016-06-01,101.538
2016-07-01,101.537
2016-08-01,101.119
2016-09-01,100.588
2016-10-01,100.691
2016-11-01,101.215
2016-12-01,101.464
2017-01-01,102.211
2017-02-01,102.822
2017-03-01,103.234
2017-04-01,103.805
2017-05-01,104.199
2017-06-01,104.437
2017-07-01,104.67
2017-08-01,104.969
2017-09-01,105.176
2017-10-01,105.093
2017-11-01,104.745
2017-12-01,104.469
2018-01-01,104.453
2018-02-01,104.409
2018-03-01,104.342
2018-04-01,104.003
2018-05-01,103.949
2018-06-01,103.84
2018-07-01,103.847
2018-08-01,104.001
2018-09-01,104.476
2018-10-01,104.301
2018-11-01,104.358
2018-12-01,104.395
2019-01-01,104.909
2019-02-01,104.77
2019-03-01,104.557
2019-04-01,104.358
2019-05-01,104.049
2019-06-01,103.921
2019-07-01,103.825
2019-08-01,104.392
2019-09-01,104.714
2019-10-01,105.091
2019-11-01,105.292
2019-12-01,105.99
2020-01-01,106.12
2020-02-01,105.823
2020-03-01,105.968
2020-04-01,106.167
2020-05-01,106.193
2020-06-01,106.012
2020-07-01,107.153
2020-08-01,107.833
2020-09-01,108.168
