"Date","CUSR0000SAH1"
1953-01-01,21.7
1953-02-01,21.8
1953-03-01,21.8
1953-04-01,21.9
1953-05-01,21.9
1953-06-01,21.9
1953-07-01,22
1953-08-01,22
1953-09-01,22.1
1953-10-01,22.2
1953-11-01,22.2
1953-12-01,22.3
1954-01-01,22.3
1954-02-01,22.3
1954-03-01,22.4
1954-04-01,22.4
1954-05-01,22.5
1954-06-01,22.5
1954-07-01,22.5
1954-08-01,22.5
1954-09-01,22.6
1954-10-01,22.6
1954-11-01,22.6
1954-12-01,22.7
1955-01-01,22.7
1955-02-01,22.7
1955-03-01,22.7
1955-04-01,22.7
1955-05-01,22.7
1955-06-01,22.7
1955-07-01,22.7
1955-08-01,22.8
1955-09-01,22.8
1955-10-01,22.9
1955-11-01,22.9
1955-12-01,22.9
1956-01-01,22.9
1956-02-01,22.9
1956-03-01,22.9
1956-04-01,22.9
1956-05-01,22.9
1956-06-01,23.1
1956-07-01,23.2
1956-08-01,23.3
1956-09-01,23.3
1956-10-01,23.3
1956-11-01,23.3
1956-12-01,23.5
1957-01-01,23.5
1957-02-01,23.7
1957-03-01,23.8
1957-04-01,23.9
1957-05-01,23.9
1957-06-01,23.9
1957-07-01,24
1957-08-01,24
1957-09-01,24.1
1957-10-01,24.2
1957-11-01,24.2
1957-12-01,24.3
1958-01-01,24.3
1958-02-01,24.4
1958-03-01,24.4
1958-04-01,24.5
1958-05-01,24.6
1958-06-01,24.5
1958-07-01,24.5
1958-08-01,24.5
1958-09-01,24.5
1958-10-01,24.4
1958-11-01,24.5
1958-12-01,24.5
1959-01-01,24.5
1959-02-01,24.5
1959-03-01,24.6
1959-04-01,24.6
1959-05-01,24.7
1959-06-01,24.7
1959-07-01,24.7
1959-08-01,24.8
1959-09-01,24.8
1959-10-01,24.9
1959-11-01,25
1959-12-01,25
1960-01-01,25
1960-02-01,25.1
1960-03-01,25.1
1960-04-01,25.2
1960-05-01,25.2
1960-06-01,25.2
1960-07-01,25.2
1960-08-01,25.3
1960-09-01,25.3
1960-10-01,25.4
1960-11-01,25.4
1960-12-01,25.4
1961-01-01,25.4
1961-02-01,25.4
1961-03-01,25.4
1961-04-01,25.4
1961-05-01,25.4
1961-06-01,25.4
1961-07-01,25.5
