"Date","APU0000FD3101"
1998-01-01,3.171
1998-02-01,3.134
1998-03-01,3.032
1998-04-01,3.098
1998-05-01,3.099
1998-06-01,3.138
1998-07-01,3.163
1998-08-01,3.154
1998-09-01,3.079
1998-10-01,3.062
1998-11-01,2.97
1998-12-01,2.934
1999-01-01,2.866
1999-02-01,2.99
1999-03-01,2.937
1999-04-01,2.951
1999-05-01,3.007
1999-06-01,3.026
1999-07-01,3.043
1999-08-01,3.066
1999-09-01,3.112
1999-10-01,3.057
1999-11-01,3.056
1999-12-01,3.061
2000-01-01,3.052
2000-02-01,3.097
2000-03-01,3.118
2000-04-01,3.134
2000-05-01,3.171
2000-06-01,3.162
2000-07-01,3.201
2000-08-01,3.249
2000-09-01,3.233
2000-10-01,3.234
2000-11-01,3.208
2000-12-01,3.242
2001-01-01,3.223
2001-02-01,3.248
2001-03-01,3.265
2001-04-01,3.295
2001-05-01,3.28
2001-06-01,3.316
2001-07-01,3.342
2001-08-01,3.376
2001-09-01,3.361
2001-10-01,3.329
2001-11-01,3.305
2001-12-01,3.307
2002-01-01,3.341
2002-02-01,3.292
2002-03-01,3.266
2002-04-01,3.207
2002-05-01,3.255
2002-06-01,3.241
2002-07-01,3.263
2002-08-01,3.246
2002-09-01,3.154
2002-10-01,3.108
2002-11-01,3.051
2002-12-01,3.106
2003-01-01,3.07
2003-02-01,3.117
2003-03-01,3.126
2003-04-01,3.157
2003-05-01,2.955
2003-06-01,2.976
2003-07-01,3.081
2003-08-01,3.022
2003-09-01,3.116
2003-10-01,3.177
2003-11-01,3.129
2003-12-01,3.069
2004-01-01,3.11
2004-02-01,3.123
2004-03-01,3.149
2004-04-01,3.113
2004-05-01,3.159
2004-06-01,3.308
2004-07-01,3.371
2004-08-01,3.291
2004-09-01,3.349
2004-10-01,3.191
2004-11-01,3.167
2004-12-01,3.106
2005-01-01,3.215
2005-02-01,3.18
2005-03-01,3.2
2005-04-01,3.209
2005-05-01,3.232
2005-06-01,3.306
2005-07-01,3.271
2005-08-01,3.28
2005-09-01,3.254
2005-10-01,3.212
2005-11-01,3.222
2005-12-01,3.179
2006-01-01,3.146
2006-02-01,3.211
2006-03-01,3.215
2006-04-01,3.168
2006-05-01,3.119
2006-06-01,3.14
2006-07-01,3.167
2006-08-01,3.17
2006-09-01,3.185
2006-10-01,3.1
2006-11-01,3.095
2006-12-01,3.036
2007-01-01,3.037
2007-02-01,3.049
2007-03-01,3.138
2007-04-01,3.152
2007-05-01,3.194
2007-06-01,3.229
2007-07-01,3.269
2007-08-01,3.207
2007-09-01,3.151
2007-10-01,3.163
2007-11-01,3.153
2007-12-01,3.153
2008-01-01,3.162
2008-02-01,3.109
2008-03-01,3.147
2008-04-01,3.156
2008-05-01,3.268
2008-06-01,3.374
2008-07-01,3.412
2008-08-01,3.383
2008-09-01,3.434
2008-10-01,3.333
2008-11-01,3.284
2008-12-01,3.268
2009-01-01,3.192
2009-02-01,3.166
2009-03-01,3.189
2009-04-01,3.13
2009-05-01,3.122
2009-06-01,3.163
2009-07-01,3.167
2009-08-01,3.191
2009-09-01,3.107
2009-10-01,3.096
2009-11-01,2.998
2009-12-01,3.017
2010-01-01,3.078
2010-02-01,3.21
2010-03-01,3.066
2010-04-01,3.134
2010-05-01,3.257
2010-06-01,3.234
2010-07-01,3.301
2010-08-01,3.29
2010-09-01,3.337
2010-10-01,3.301
2010-11-01,3.296
2010-12-01,3.303
2011-01-01,3.368
2011-02-01,3.483
2011-03-01,3.473
2011-04-01,3.412
2011-05-01,3.552
2011-06-01,3.55
2011-07-01,3.508
2011-08-01,3.576
2011-09-01,3.644
2011-10-01,3.589
2011-11-01,3.525
2011-12-01,3.548
2012-01-01,3.592
2012-02-01,3.529
2012-03-01,3.522
2012-04-01,3.498
2012-05-01,3.521
2012-06-01,3.52
2012-07-01,3.562
2012-08-01,3.586
2012-09-01,3.507
2012-10-01,3.537
2012-11-01,3.528
2012-12-01,3.465
2013-01-01,3.465
2013-02-01,3.571
2013-03-01,3.53
2013-04-01,3.489
2013-05-01,3.552
2013-06-01,3.388
2013-07-01,3.508
2013-08-01,3.534
2013-09-01,3.609
2013-10-01,3.58
2013-11-01,3.681
2013-12-01,3.731
2014-01-01,3.723
2014-02-01,3.659
2014-03-01,3.824
2014-04-01,4.044
2014-05-01,4.106
2014-06-01,4.024
2014-07-01,4.005
2014-08-01,4.172
2014-09-01,4.173
2014-10-01,4.174
2014-11-01,4.1
2014-12-01,4.056
2015-01-01,3.988
2015-02-01,3.962
2015-03-01,3.867
2015-04-01,3.813
2015-05-01,3.786
2015-06-01,3.824
2015-07-01,3.917
2015-08-01,3.863
2015-09-01,3.88
2015-10-01,3.875
2015-11-01,3.797
2015-12-01,3.807
2016-01-01,3.656
2016-02-01,3.658
2016-03-01,3.693
2016-04-01,3.707
2016-05-01,3.72
2016-06-01,3.752
2016-07-01,3.832
2016-08-01,3.76
2016-09-01,3.662
2016-10-01,3.632
2016-11-01,3.512
2016-12-01,3.462
2017-01-01,3.354
2017-02-01,3.45
2017-03-01,3.443
2017-04-01,3.441
2017-05-01,3.425
2017-06-01,3.42
2017-07-01,3.417
2017-08-01,3.482
2017-09-01,3.481
2017-10-01,3.378
2017-11-01,3.366
2017-12-01,3.302
2018-01-01,3.224
2018-02-01,3.186
2018-03-01,3.207
2018-04-01,3.293
2018-05-01,3.284
2018-06-01,3.272
2018-07-01,3.262
2018-08-01,3.338
2018-09-01,3.289
2018-10-01,3.367
2018-11-01,3.306
2018-12-01,3.361
2019-01-01,3.199
2019-02-01,3.298
2019-03-01,3.311
2019-04-01,3.354
2019-05-01,3.441
2019-06-01,3.312
2019-07-01,3.411
2019-08-01,3.379
