"Date","CUURA316SEHA"
1978-02-01,60.6
1978-03-01,NA
1978-04-01,61.8
1978-05-01,NA
1978-06-01,62.6
1978-07-01,NA
1978-08-01,64.3
1978-09-01,NA
1978-10-01,66
1978-11-01,NA
1978-12-01,66.6
1979-01-01,NA
1979-02-01,68.4
1979-03-01,NA
1979-04-01,69.3
1979-05-01,NA
1979-06-01,69.8
1979-07-01,NA
1979-08-01,70.8
1979-09-01,NA
1979-10-01,72.2
1979-11-01,NA
1979-12-01,73.2
1980-01-01,NA
1980-02-01,75
1980-03-01,NA
1980-04-01,76
1980-05-01,NA
1980-06-01,76.9
1980-07-01,NA
1980-08-01,78.2
1980-09-01,NA
1980-10-01,78.6
1980-11-01,NA
1980-12-01,86
1981-01-01,NA
1981-02-01,83.5
1981-03-01,NA
1981-04-01,85.4
1981-05-01,NA
1981-06-01,84.7
1981-07-01,NA
1981-08-01,86.4
1981-09-01,NA
1981-10-01,86.8
1981-11-01,NA
1981-12-01,90.4
1982-01-01,NA
1982-02-01,90.1
1982-03-01,NA
1982-04-01,90.2
1982-05-01,NA
1982-06-01,91.8
1982-07-01,NA
1982-08-01,93.9
1982-09-01,NA
1982-10-01,98.1
1982-11-01,NA
1982-12-01,96.5
1983-01-01,NA
1983-02-01,97.8
1983-03-01,NA
1983-04-01,101
1983-05-01,NA
1983-06-01,102.2
1983-07-01,NA
1983-08-01,101.5
1983-09-01,NA
1983-10-01,102
1983-11-01,NA
1983-12-01,102.7
1984-01-01,NA
1984-02-01,104.7
1984-03-01,NA
1984-04-01,105.3
1984-05-01,NA
1984-06-01,105.3
1984-07-01,NA
1984-08-01,106.9
1984-09-01,NA
1984-10-01,107.5
1984-11-01,NA
1984-12-01,106.7
1985-01-01,NA
1985-02-01,108.9
1985-03-01,NA
1985-04-01,107.5
1985-05-01,NA
1985-06-01,110
1985-07-01,NA
1985-08-01,111.9
1985-09-01,NA
1985-10-01,112.6
1985-11-01,NA
1985-12-01,112.5
1986-01-01,NA
1986-02-01,114.4
1986-03-01,NA
1986-04-01,114.7
1986-05-01,NA
1986-06-01,114.4
1986-07-01,NA
1986-08-01,113.9
1986-09-01,NA
1986-10-01,113.5
1986-11-01,NA
1986-12-01,114.3
1987-01-01,113.8
1987-02-01,113.1
1987-03-01,113
1987-04-01,112.9
1987-05-01,112.2
1987-06-01,111.1
1987-07-01,112.8
1987-08-01,112.3
1987-09-01,115
1987-10-01,114.1
1987-11-01,112.9
1987-12-01,111.3
1988-01-01,110.9
1988-02-01,109.8
1988-03-01,111.2
1988-04-01,111.6
1988-05-01,111.4
1988-06-01,109.6
1988-07-01,110.5
1988-08-01,110.2
1988-09-01,108.3
1988-10-01,109.4
1988-11-01,109.9
1988-12-01,110.1
1989-01-01,109.3
1989-02-01,108.6
1989-03-01,109.9
1989-04-01,109.9
1989-05-01,110.6
1989-06-01,110
1989-07-01,109
1989-08-01,109.9
1989-09-01,109.8
1989-10-01,110.9
1989-11-01,110.9
1989-12-01,111.1
1990-01-01,111.2
1990-02-01,112.5
1990-03-01,112.3
1990-04-01,112.5
1990-05-01,112.2
1990-06-01,113.3
1990-07-01,114.2
1990-08-01,113.4
1990-09-01,115.1
1990-10-01,116.3
1990-11-01,116.5
1990-12-01,116.8
1991-01-01,116.9
1991-02-01,118.3
1991-03-01,117.2
1991-04-01,118.3
1991-05-01,118.1
1991-06-01,118.5
1991-07-01,119.5
1991-08-01,118.8
1991-09-01,119.8
1991-10-01,119.8
1991-11-01,120.3
1991-12-01,120.5
1992-01-01,121.1
1992-02-01,120.7
1992-03-01,120.4
1992-04-01,120.1
1992-05-01,120.3
1992-06-01,121.1
1992-07-01,121.1
1992-08-01,122.5
1992-09-01,121.4
1992-10-01,121.4
1992-11-01,121.5
1992-12-01,122.7
1993-01-01,122.9
1993-02-01,123.4
1993-03-01,122.8
1993-04-01,123.5
1993-05-01,123
1993-06-01,123.4
1993-07-01,123.5
1993-08-01,124.2
1993-09-01,124.7
1993-10-01,124.6
1993-11-01,125.1
1993-12-01,126.2
1994-01-01,126
1994-02-01,126.4
1994-03-01,127.3
1994-04-01,128.3
1994-05-01,127.8
1994-06-01,128.2
1994-07-01,128.5
1994-08-01,129.5
1994-09-01,130.3
1994-10-01,129.6
1994-11-01,130.2
1994-12-01,131.5
1995-01-01,132.2
1995-02-01,132.6
1995-03-01,132.8
1995-04-01,132.9
1995-05-01,133
1995-06-01,132.6
1995-07-01,132.7
1995-08-01,133.1
1995-09-01,133.9
1995-10-01,134.6
1995-11-01,135
1995-12-01,135.3
1996-01-01,135.8
1996-02-01,136.3
1996-03-01,136.3
1996-04-01,135.9
1996-05-01,136.6
1996-06-01,137.3
1996-07-01,137.4
1996-08-01,137.8
1996-09-01,138.3
1996-10-01,139
1996-11-01,139.7
1996-12-01,140.1
1997-01-01,140.4
1997-02-01,140.5
1997-03-01,140.5
1997-04-01,141
1997-05-01,140.8
1997-06-01,142.3
1997-07-01,143.1
1997-08-01,143.4
1997-09-01,144.3
1997-10-01,145.8
1997-11-01,146.4
1997-12-01,146.4
1998-01-01,146.9
1998-02-01,147.6
1998-03-01,147.9
1998-04-01,148.6
1998-05-01,149.3
1998-06-01,149.8
1998-07-01,150
1998-08-01,150.6
1998-09-01,151.4
1998-10-01,151.4
1998-11-01,151.8
1998-12-01,153
1999-01-01,153.4
1999-02-01,154.4
1999-03-01,154.5
1999-04-01,155
1999-05-01,155.7
1999-06-01,156.2
1999-07-01,156.5
1999-08-01,156.7
1999-09-01,157
1999-10-01,157.4
1999-11-01,158.3
1999-12-01,159
2000-01-01,159.3
2000-02-01,160
2000-03-01,160.6
2000-04-01,161.5
2000-05-01,162
2000-06-01,162.2
2000-07-01,163.1
2000-08-01,163.3
2000-09-01,163.6
2000-10-01,163.5
2000-11-01,164.2
2000-12-01,164.3
2001-01-01,164
2001-02-01,164.8
2001-03-01,165.9
2001-04-01,166.5
2001-05-01,166.5
2001-06-01,167.2
2001-07-01,167.1
2001-08-01,167.2
2001-09-01,168.1
2001-10-01,168.8
2001-11-01,170.2
2001-12-01,170.8
2002-01-01,172.8
2002-02-01,173.8
2002-03-01,174.3
2002-04-01,174.3
2002-05-01,174.5
2002-06-01,174.5
2002-07-01,173.8
2002-08-01,173.3
2002-09-01,173.7
2002-10-01,174.2
2002-11-01,174.7
2002-12-01,174.4
2003-01-01,174.7
2003-02-01,175.1
2003-03-01,175.8
2003-04-01,175.4
2003-05-01,175
2003-06-01,174.9
2003-07-01,174.6
2003-08-01,174.6
2003-09-01,173.6
2003-10-01,173.6
2003-11-01,172.7
2003-12-01,171.8
2004-01-01,170.9
2004-02-01,170.6
2004-03-01,170.6
2004-04-01,170.2
2004-05-01,169.8
2004-06-01,169.1
2004-07-01,168.5
2004-08-01,168.8
2004-09-01,167.9
2004-10-01,168
2004-11-01,168.3
2004-12-01,169.3
2005-01-01,170.1
2005-02-01,169.3
2005-03-01,169.7
2005-04-01,169.5
2005-05-01,168.5
2005-06-01,167.9
2005-07-01,168.2
2005-08-01,168.6
2005-09-01,168.9
2005-10-01,168.9
2005-11-01,169.8
2005-12-01,170.4
2006-01-01,171
2006-02-01,171.4
2006-03-01,171.1
2006-04-01,171.3
2006-05-01,171.4
2006-06-01,171.6
2006-07-01,171.9
2006-08-01,171.9
2006-09-01,172.3
2006-10-01,172.9
2006-11-01,173
2006-12-01,172.7
2007-01-01,172.734
2007-02-01,173.537
2007-03-01,174.109
2007-04-01,175.332
2007-05-01,176.516
2007-06-01,177.206
2007-07-01,177.193
2007-08-01,177.716
2007-09-01,177.491
2007-10-01,177.762
2007-11-01,177.848
2007-12-01,178.685
2008-01-01,179.991
2008-02-01,180.242
2008-03-01,181.622
2008-04-01,182.108
2008-05-01,182.579
2008-06-01,183.5
2008-07-01,184.247
2008-08-01,185.124
2008-09-01,186.322
2008-10-01,187.576
2008-11-01,188.748
2008-12-01,189.335
2009-01-01,188.779
2009-02-01,188.947
2009-03-01,189.058
2009-04-01,189.549
2009-05-01,190.243
2009-06-01,190.738
2009-07-01,192.176
2009-08-01,192.132
2009-09-01,192.196
2009-10-01,191.639
2009-11-01,190.862
2009-12-01,191.038
2010-01-01,191.284
2010-02-01,191.419
2010-03-01,191.044
2010-04-01,188.784
2010-05-01,188.85
2010-06-01,187.92
2010-07-01,187.825
2010-08-01,186.659
2010-09-01,186.912
2010-10-01,187.352
2010-11-01,186.228
2010-12-01,186.674
2011-01-01,187.029
2011-02-01,187.051
2011-03-01,187.58
2011-04-01,188.685
2011-05-01,189.567
2011-06-01,189.935
2011-07-01,189.598
2011-08-01,190.984
2011-09-01,191.819
2011-10-01,192.89
2011-11-01,193.639
2011-12-01,194.441
2012-01-01,194.472
2012-02-01,196.012
2012-03-01,196.951
2012-04-01,197.511
2012-05-01,198.04
2012-06-01,198.182
2012-07-01,199.259
2012-08-01,199.613
2012-09-01,200.341
2012-10-01,201.193
2012-11-01,202.738
2012-12-01,203.685
2013-01-01,203.865
2013-02-01,204.114
2013-03-01,204.423
2013-04-01,203.969
2013-05-01,202.87
2013-06-01,202.743
2013-07-01,203.403
2013-08-01,205.08
2013-09-01,205.624
2013-10-01,206.052
2013-11-01,206.595
2013-12-01,207.124
2014-01-01,207.405
2014-02-01,207.856
2014-03-01,209.273
2014-04-01,211.021
2014-05-01,212.138
2014-06-01,213.31
2014-07-01,214.18
2014-08-01,214.935
2014-09-01,215.273
2014-10-01,216.125
2014-11-01,216.735
2014-12-01,217.244
2015-01-01,218.23
2015-02-01,219.19
2015-03-01,220.211
2015-04-01,221.199
2015-05-01,221.966
2015-06-01,222.736
2015-07-01,223.931
2015-08-01,225.824
2015-09-01,226.901
2015-10-01,227.806
2015-11-01,228.611
2015-12-01,229.751
2016-01-01,230.106
2016-02-01,230.432
2016-03-01,231.213
2016-04-01,231.706
2016-05-01,232.543
2016-06-01,234.814
2016-07-01,236.465
2016-08-01,237.316
2016-09-01,238.215
2016-10-01,240.066
2016-11-01,241.039
2016-12-01,242.595
2017-01-01,244.983
2017-02-01,246.699
2017-03-01,246.079
2017-04-01,246.91
2017-05-01,249.659
2017-06-01,251.874
2017-07-01,252.819
2017-08-01,254.497
2017-09-01,255.682
2017-10-01,256.919
2017-11-01,258.881
2017-12-01,260.126
2018-01-01,260.571
2018-02-01,260.202
2018-03-01,262.322
2018-04-01,265.425
2018-05-01,266
2018-06-01,267.496
2018-07-01,267.696
2018-08-01,269.22
2018-09-01,269.313
2018-10-01,268.644
2018-11-01,269.708
2018-12-01,269.94
2019-01-01,270.392
2019-02-01,270.881
2019-03-01,272.007
2019-04-01,272.9
2019-05-01,273.876
2019-06-01,274.742
2019-07-01,275.319
2019-08-01,276.563
2019-09-01,278.451
2019-10-01,277.89
2019-11-01,278.661
2019-12-01,280.054
2020-01-01,280.434
2020-02-01,282.535
2020-03-01,284.827
2020-04-01,285.386
2020-05-01,286.58
2020-06-01,286.647
2020-07-01,288.312
2020-08-01,287.399
2020-09-01,288.439
2020-10-01,289.566
2020-11-01,289.78
2020-12-01,291.412
2021-01-01,291.627
2021-02-01,292.952
2021-03-01,290.952
2021-04-01,292.179
2021-05-01,293.422
2021-06-01,295.813
2021-07-01,297.134
2021-08-01,298.136
2021-09-01,299.786
2021-10-01,301.284
2021-11-01,302.674
2021-12-01,304.618
2022-01-01,305.775
2022-02-01,309.921
2022-03-01,311.352
2022-04-01,314.902
2022-05-01,319.11
2022-06-01,320.418
2022-07-01,324.536
2022-08-01,326.759
2022-09-01,330.192
2022-10-01,333.473
2022-11-01,338.266
2022-12-01,341.333
2023-01-01,341.588
2023-02-01,343.097
2023-03-01,345.818
2023-04-01,347.566
2023-05-01,348.075
2023-06-01,349.256
2023-07-01,350.296
2023-08-01,351.201
2023-09-01,353.243
2023-10-01,355.884
2023-11-01,357.718
