"Date","CWUR0000SETB"
1935-03-01,13.1
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,13.4
1935-08-01,NA
1935-09-01,NA
1935-10-01,12.7
1935-11-01,NA
1935-12-01,NA
1936-01-01,12.9
1936-02-01,NA
1936-03-01,NA
1936-04-01,13.4
1936-05-01,NA
1936-06-01,NA
1936-07-01,13.9
1936-08-01,NA
1936-09-01,13.8
1936-10-01,NA
1936-11-01,NA
1936-12-01,13.8
1937-01-01,NA
1937-02-01,NA
1937-03-01,14.2
1937-04-01,NA
1937-05-01,NA
1937-06-01,14.3
1937-07-01,NA
1937-08-01,NA
1937-09-01,14.3
1937-10-01,NA
1937-11-01,NA
1937-12-01,13.9
1938-01-01,NA
1938-02-01,NA
1938-03-01,13.9
1938-04-01,NA
1938-05-01,NA
1938-06-01,13.9
1938-07-01,NA
1938-08-01,NA
1938-09-01,13.8
1938-10-01,NA
1938-11-01,NA
1938-12-01,13.1
1939-01-01,NA
1939-02-01,NA
1939-03-01,12.6
1939-04-01,NA
1939-05-01,NA
1939-06-01,12.8
1939-07-01,NA
1939-08-01,NA
1939-09-01,13.1
1939-10-01,NA
1939-11-01,NA
1939-12-01,13.1
1940-01-01,NA
1940-02-01,NA
1940-03-01,12.9
1940-04-01,NA
1940-05-01,NA
1940-06-01,12.5
1940-07-01,NA
1940-08-01,NA
1940-09-01,12.6
1940-10-01,12.5
1940-11-01,12.5
1940-12-01,12.4
1941-01-01,12.5
1941-02-01,12.5
1941-03-01,12.5
1941-04-01,12.7
1941-05-01,13.1
1941-06-01,13.5
1941-07-01,13.6
1941-08-01,13.6
1941-09-01,13.9
1941-10-01,13.9
1941-11-01,13.8
1941-12-01,13.8
1942-01-01,13.8
1942-02-01,13.9
1942-03-01,13.9
1942-04-01,14
1942-05-01,14
1942-06-01,14.2
1942-07-01,14.5
1942-08-01,14
1942-09-01,14
1942-10-01,14
1942-11-01,14.1
1942-12-01,14.1
1943-01-01,14.1
1943-02-01,14.1
1943-03-01,14.1
1943-04-01,14.1
1943-05-01,14.1
1943-06-01,14.2
1943-07-01,14.2
1943-08-01,14.2
1943-09-01,14.2
1943-10-01,14.3
1943-11-01,14.3
1943-12-01,14.3
1944-01-01,14.3
1944-02-01,14.3
1944-03-01,14.3
1944-04-01,14.3
1944-05-01,14.3
1944-06-01,14.3
1944-07-01,14.3
1944-08-01,14.3
1944-09-01,14.2
1944-10-01,14.2
1944-11-01,14.2
1944-12-01,14.2
1945-01-01,14.2
1945-02-01,14.2
1945-03-01,14.2
1945-04-01,14.2
1945-05-01,14.2
1945-06-01,14.2
1945-07-01,14.2
1945-08-01,14.2
1945-09-01,14.2
1945-10-01,14
1945-11-01,14
1945-12-01,14
1946-01-01,14
1946-02-01,14
1946-03-01,14
1946-04-01,14
1946-05-01,14
1946-06-01,14
1946-07-01,14
1946-08-01,14.8
1946-09-01,15
1946-10-01,15
1946-11-01,15.1
1946-12-01,15.1
1947-01-01,15.2
1947-02-01,15.4
1947-03-01,15.6
1947-04-01,NA
1947-05-01,NA
1947-06-01,16.2
1947-07-01,NA
1947-08-01,NA
1947-09-01,16.8
1947-10-01,NA
1947-11-01,17.2
1947-12-01,17.6
1948-01-01,NA
1948-02-01,NA
1948-03-01,18.6
1948-04-01,NA
1948-05-01,NA
1948-06-01,18.5
1948-07-01,NA
1948-08-01,NA
1948-09-01,18.6
1948-10-01,NA
1948-11-01,NA
1948-12-01,18.7
1949-01-01,NA
1949-02-01,NA
1949-03-01,18.9
1949-04-01,NA
1949-05-01,NA
1949-06-01,19.1
1949-07-01,NA
1949-08-01,NA
1949-09-01,19.2
1949-10-01,NA
1949-11-01,NA
1949-12-01,19
1950-01-01,NA
1950-02-01,NA
1950-03-01,18.6
1950-04-01,NA
1950-05-01,NA
1950-06-01,18.7
1950-07-01,NA
1950-08-01,NA
1950-09-01,19
1950-10-01,NA
1950-11-01,NA
1950-12-01,19.3
1951-01-01,NA
1951-02-01,NA
1951-03-01,19.5
1951-04-01,NA
1951-05-01,NA
1951-06-01,19.4
1951-07-01,NA
1951-08-01,NA
1951-09-01,19.2
1951-10-01,NA
1951-11-01,NA
1951-12-01,19.7
1952-01-01,NA
1952-02-01,NA
1952-03-01,19.9
1952-04-01,NA
1952-05-01,NA
1952-06-01,20
1952-07-01,NA
1952-08-01,NA
1952-09-01,20.1
1952-10-01,NA
1952-11-01,NA
1952-12-01,19.9
1953-01-01,NA
1953-02-01,NA
1953-03-01,20.6
1953-04-01,NA
1953-05-01,NA
1953-06-01,20.9
1953-07-01,NA
1953-08-01,NA
1953-09-01,21.9
1953-10-01,NA
1953-11-01,NA
1953-12-01,21.8
1954-01-01,NA
1954-02-01,NA
1954-03-01,21.8
1954-04-01,NA
1954-05-01,NA
1954-06-01,21.7
1954-07-01,NA
1954-08-01,NA
1954-09-01,21.5
1954-10-01,NA
1954-11-01,NA
1954-12-01,21.5
1955-01-01,NA
1955-02-01,NA
1955-03-01,21.7
1955-04-01,NA
1955-05-01,NA
1955-06-01,22
1955-07-01,NA
1955-08-01,NA
1955-09-01,22.2
1955-10-01,NA
1955-11-01,NA
1955-12-01,22.3
