"Date","CUSR0000SEHC"
1983-01-01,100.6
1983-02-01,100.9
1983-03-01,100.9
1983-04-01,101.9
1983-05-01,102.1
1983-06-01,102.4
1983-07-01,102.8
1983-08-01,103
1983-09-01,103.4
1983-10-01,103.6
1983-11-01,104
1983-12-01,104.4
1984-01-01,104.7
1984-02-01,105.1
1984-03-01,105.6
1984-04-01,106.4
1984-05-01,106.6
1984-06-01,107
1984-07-01,107.8
1984-08-01,108.1
1984-09-01,108.6
1984-10-01,108.9
1984-11-01,109.2
1984-12-01,109.7
1985-01-01,110
1985-02-01,110.8
1985-03-01,111.1
1985-04-01,111.3
1985-05-01,112.6
1985-06-01,113
1985-07-01,113.5
1985-08-01,114.3
1985-09-01,114.5
1985-10-01,114.8
1985-11-01,115.7
1985-12-01,116.2
1986-01-01,116.8
1986-02-01,117.1
1986-03-01,118.1
1986-04-01,118.7
1986-05-01,118.9
1986-06-01,119.3
1986-07-01,119.5
1986-08-01,119.9
1986-09-01,120.5
1986-10-01,121
1986-11-01,121.3
1986-12-01,121.5
1987-01-01,121.9
1987-02-01,122.5
1987-03-01,123.1
1987-04-01,123.9
1987-05-01,124.4
1987-06-01,124.6
1987-07-01,124.6
1987-08-01,125.4
1987-09-01,125.8
1987-10-01,126.8
1987-11-01,127.1
1987-12-01,127.8
1988-01-01,128.5
1988-02-01,129
1988-03-01,129.4
1988-04-01,129.8
1988-05-01,130.2
1988-06-01,130.8
1988-07-01,131.3
1988-08-01,131.9
1988-09-01,132.5
1988-10-01,132.7
1988-11-01,133.5
1988-12-01,133.9
1989-01-01,134.4
1989-02-01,134.8
1989-03-01,135.3
1989-04-01,135.8
1989-05-01,136.5
1989-06-01,136.9
1989-07-01,137.5
1989-08-01,138.2
1989-09-01,138.7
1989-10-01,139.6
1989-11-01,140.1
1989-12-01,140.8
1990-01-01,141.1
1990-02-01,141.2
1990-03-01,142.6
1990-04-01,143.1
1990-05-01,143.5
1990-06-01,144.9
1990-07-01,145.7
1990-08-01,146.7
1990-09-01,147
1990-10-01,147.2
1990-11-01,147.1
1990-12-01,147.6
1991-01-01,148.1
1991-02-01,148.6
1991-03-01,148.8
1991-04-01,149.3
1991-05-01,149.7
1991-06-01,150.1
1991-07-01,150.5
1991-08-01,150.8
1991-09-01,151.4
1991-10-01,152
1991-11-01,152.6
1991-12-01,153.2
1992-01-01,153.5
1992-02-01,153.8
1992-03-01,154.4
1992-04-01,154.6
1992-05-01,154.9
1992-06-01,155.4
1992-07-01,155.7
1992-08-01,156.1
1992-09-01,156
1992-10-01,156.8
1992-11-01,157.3
1992-12-01,157.7
