"Date","CWUR0000SAF112"
1967-01-01,38.4
1967-02-01,38
1967-03-01,37.8
1967-04-01,37.3
1967-05-01,37
1967-06-01,37.9
1967-07-01,38.1
1967-08-01,38.8
1967-09-01,38.8
1967-10-01,38.5
1967-11-01,38
1967-12-01,38
1968-01-01,38.1
1968-02-01,38.3
1968-03-01,38.6
1968-04-01,38.5
1968-05-01,38.4
1968-06-01,38.5
1968-07-01,39
1968-08-01,39.7
1968-09-01,40.2
1968-10-01,40.4
1968-11-01,39.6
1968-12-01,39.9
1969-01-01,40.6
1969-02-01,40.6
1969-03-01,40.4
1969-04-01,41.1
1969-05-01,41.1
1969-06-01,42.7
1969-07-01,43.5
1969-08-01,44.2
1969-09-01,44.6
1969-10-01,44.1
1969-11-01,44.3
1969-12-01,44.9
1970-01-01,45.5
1970-02-01,45.7
1970-03-01,45.2
1970-04-01,44.8
1970-05-01,44.5
1970-06-01,44.1
1970-07-01,44.8
1970-08-01,44.8
1970-09-01,44.8
1970-10-01,44.3
1970-11-01,43.4
1970-12-01,43.5
1971-01-01,43.4
1971-02-01,43.2
1971-03-01,43.8
1971-04-01,43.8
1971-05-01,43.8
1971-06-01,44.1
1971-07-01,44.5
1971-08-01,44.9
1971-09-01,44.8
1971-10-01,44.7
1971-11-01,44.5
1971-12-01,45
1972-01-01,45.5
1972-02-01,47.3
1972-03-01,47.6
1972-04-01,47.2
1972-05-01,46.8
1972-06-01,47.1
1972-07-01,48.6
1972-08-01,49
1972-09-01,49.3
1972-10-01,49.4
1972-11-01,49.5
1972-12-01,49.8
1973-01-01,52.3
1973-02-01,54.3
1973-03-01,57.6
1973-04-01,58.6
1973-05-01,58.7
1973-06-01,59.2
1973-07-01,59.9
1973-08-01,70.5
1973-09-01,68.8
1973-10-01,65.3
1973-11-01,63.8
1973-12-01,63.6
1974-01-01,65.1
1974-02-01,66.9
1974-03-01,65.4
1974-04-01,62.4
1974-05-01,59.5
1974-06-01,58.2
1974-07-01,58
1974-08-01,61.2
1974-09-01,63.2
1974-10-01,62.6
1974-11-01,62.5
1974-12-01,62.5
1975-01-01,62.5
1975-02-01,62.2
1975-03-01,61.3
1975-04-01,61.4
1975-05-01,63.3
1975-06-01,66.2
1975-07-01,70.1
1975-08-01,71
1975-09-01,71.6
1975-10-01,72.4
1975-11-01,71.9
1975-12-01,71.6
1976-01-01,70.8
1976-02-01,69.7
1976-03-01,68
1976-04-01,67.2
1976-05-01,68.1
1976-06-01,68.6
1976-07-01,69.4
1976-08-01,68.9
1976-09-01,68.3
1976-10-01,66.7
1976-11-01,65.7
1976-12-01,65.5
1977-01-01,66.4
1977-02-01,67.5
1977-03-01,66.7
1977-04-01,66.2
1977-05-01,66.2
1977-06-01,66.7
1977-07-01,68.1
1977-08-01,68.7
1977-09-01,68.8
1977-10-01,68
1977-11-01,68.5
1977-12-01,68.3
1978-01-01,70
1978-02-01,71.7
1978-03-01,73.4
1978-04-01,75.5
1978-05-01,76.9
1978-06-01,79.9
1978-07-01,80.1
1978-08-01,80.1
1978-09-01,79.7
1978-10-01,80.3
1978-11-01,81.4
1978-12-01,82.3
1979-01-01,85
1979-02-01,88.3
1979-03-01,90.1
1979-04-01,91.1
1979-05-01,91.8
