"Date","CUURA101SAF11"
1953-01-01,29.7
1953-02-01,29.2
1953-03-01,29.1
1953-04-01,28.9
1953-05-01,29
1953-06-01,29.6
1953-07-01,29.6
1953-08-01,29.7
1953-09-01,29.8
1953-10-01,29.6
1953-11-01,29.2
1953-12-01,29.2
1954-01-01,29.3
1954-02-01,29.2
1954-03-01,28.9
1954-04-01,29.2
1954-05-01,29.4
1954-06-01,29.4
1954-07-01,30
1954-08-01,29.8
1954-09-01,29.4
1954-10-01,29.3
1954-11-01,29.2
1954-12-01,28.8
1955-01-01,29
1955-02-01,29.1
1955-03-01,29.1
1955-04-01,29.3
1955-05-01,28.9
1955-06-01,29
1955-07-01,29.2
1955-08-01,29.2
1955-09-01,29.3
1955-10-01,28.9
1955-11-01,28.7
1955-12-01,28.3
1956-01-01,28.4
1956-02-01,28.2
1956-03-01,28.3
1956-04-01,28.3
1956-05-01,28.8
1956-06-01,29.5
1956-07-01,29.9
1956-08-01,29.3
1956-09-01,29.6
1956-10-01,29.7
1956-11-01,29.6
1956-12-01,29.4
1957-01-01,29.2
1957-02-01,29.4
1957-03-01,29.2
1957-04-01,29.4
1957-05-01,29.7
1957-06-01,30
1957-07-01,30.5
1957-08-01,30.6
1957-09-01,30.2
1957-10-01,30.2
1957-11-01,30.1
1957-12-01,30
1958-01-01,30.9
1958-02-01,31.1
1958-03-01,31.9
1958-04-01,31.9
1958-05-01,31.9
1958-06-01,31.7
1958-07-01,31.8
1958-08-01,31.5
1958-09-01,31.6
1958-10-01,31.6
1958-11-01,31.5
1958-12-01,30.9
1959-01-01,31.4
1959-02-01,31.1
1959-03-01,30.9
1959-04-01,30.9
1959-05-01,30.8
1959-06-01,31.1
1959-07-01,31.6
1959-08-01,30.8
1959-09-01,31.1
1959-10-01,31
1959-11-01,30.9
1959-12-01,31
1960-01-01,30.9
1960-02-01,31
1960-03-01,30.9
1960-04-01,31.1
1960-05-01,31.3
1960-06-01,31.2
1960-07-01,31.3
1960-08-01,31.4
1960-09-01,31.5
1960-10-01,31.6
1960-11-01,31.8
1960-12-01,31.5
1961-01-01,31.5
1961-02-01,31.5
1961-03-01,31.4
1961-04-01,31.1
1961-05-01,30.9
1961-06-01,31
1961-07-01,31.4
1961-08-01,31.3
1961-09-01,31.3
1961-10-01,31.1
1961-11-01,31
1961-12-01,31.1
1962-01-01,31.3
1962-02-01,31.5
1962-03-01,31.5
1962-04-01,31.5
1962-05-01,31.2
1962-06-01,31.1
1962-07-01,31.5
1962-08-01,31.7
1962-09-01,32.2
1962-10-01,31.9
1962-11-01,31.7
1962-12-01,31.4
1963-01-01,32
1963-02-01,32.2
1963-03-01,32
1963-04-01,31.9
1963-05-01,31.9
1963-06-01,32.1
1963-07-01,32.6
1963-08-01,32.5
1963-09-01,32.3
1963-10-01,32
1963-11-01,32.2
1963-12-01,32.4
1964-01-01,32.5
1964-02-01,32.5
1964-03-01,32.2
1964-04-01,32.2
1964-05-01,32.2
1964-06-01,32.4
1964-07-01,32.8
1964-08-01,32.7
1964-09-01,32.9
1964-10-01,32.8
1964-11-01,32.7
1964-12-01,32.5
1965-01-01,32.3
1965-02-01,32.3
1965-03-01,32.2
1965-04-01,32.4
1965-05-01,32.5
1965-06-01,33.3
1965-07-01,33.6
1965-08-01,33.2
1965-09-01,33.1
1965-10-01,32.8
1965-11-01,33
1965-12-01,33.4
1966-01-01,33.6
1966-02-01,34.4
1966-03-01,34.7
1966-04-01,34.6
1966-05-01,34.4
1966-06-01,34.3
1966-07-01,34.5
1966-08-01,35
1966-09-01,34.9
1966-10-01,34.9
1966-11-01,34.6
1966-12-01,34.4
1967-01-01,34.4
1967-02-01,34.1
1967-03-01,34
1967-04-01,33.8
1967-05-01,33.7
1967-06-01,34.2
1967-07-01,34.5
1967-08-01,34.7
1967-09-01,34.3
1967-10-01,34.2
1967-11-01,34.2
1967-12-01,34.4
1968-01-01,34.6
1968-02-01,34.9
1968-03-01,35
