"Date","CUUR0000SETA02"
1952-12-01,28.4
1953-01-01,28.6
1953-02-01,28.2
1953-03-01,27.8
1953-04-01,27.7
1953-05-01,27.2
1953-06-01,26.8
1953-07-01,26.6
1953-08-01,26.4
1953-09-01,26
1953-10-01,25.7
1953-11-01,25.1
1953-12-01,24.7
1954-01-01,24.1
1954-02-01,23.1
1954-03-01,22.7
1954-04-01,22.5
1954-05-01,22.5
1954-06-01,22.8
1954-07-01,22.6
1954-08-01,22.8
1954-09-01,22.8
1954-10-01,22.7
1954-11-01,22.4
1954-12-01,21.9
1955-01-01,22.3
1955-02-01,22
1955-03-01,21.9
1955-04-01,20.9
1955-05-01,21.4
1955-06-01,21.7
1955-07-01,21.5
1955-08-01,21.5
1955-09-01,21.6
1955-10-01,21.3
1955-11-01,21.1
1955-12-01,20.5
1956-01-01,20
1956-02-01,20.1
1956-03-01,19.6
1956-04-01,19.7
1956-05-01,20.4
1956-06-01,20.1
1956-07-01,20.5
1956-08-01,21.1
1956-09-01,21.3
1956-10-01,21.8
1956-11-01,21.8
1956-12-01,21.8
1957-01-01,22.1
1957-02-01,21.8
1957-03-01,22.6
1957-04-01,22.8
1957-05-01,23
1957-06-01,23.2
1957-07-01,23.3
1957-08-01,23.7
1957-09-01,23.9
1957-10-01,24
1957-11-01,23.9
1957-12-01,23.5
1958-01-01,22.9
1958-02-01,22.8
1958-03-01,22.7
1958-04-01,22.9
1958-05-01,23.2
1958-06-01,23.4
1958-07-01,24
1958-08-01,24.5
1958-09-01,25.3
1958-10-01,25.4
1958-11-01,25.4
1958-12-01,25.6
1959-01-01,25.5
1959-02-01,25.5
1959-03-01,25.9
1959-04-01,26.3
1959-05-01,26.4
1959-06-01,26.8
1959-07-01,27.5
1959-08-01,27.8
1959-09-01,28.1
1959-10-01,27.5
1959-11-01,27.2
1959-12-01,27.2
1960-01-01,26.7
1960-02-01,27.1
1960-03-01,26
1960-04-01,25.2
1960-05-01,25.2
1960-06-01,25.3
1960-07-01,24.9
1960-08-01,25
1960-09-01,24.2
1960-10-01,24
1960-11-01,23.4
1960-12-01,23.7
1961-01-01,23.1
1961-02-01,24
1961-03-01,23.5
1961-04-01,25.1
1961-05-01,25.6
1961-06-01,26.4
1961-07-01,26.8
1961-08-01,27.5
1961-09-01,27.7
1961-10-01,27.8
1961-11-01,27.7
1961-12-01,27
1962-01-01,26.7
1962-02-01,26.5
1962-03-01,26.8
1962-04-01,27.9
1962-05-01,28.4
1962-06-01,28.9
1962-07-01,28.9
1962-08-01,29.3
1962-09-01,29.7
1962-10-01,29.4
1962-11-01,29.4
1962-12-01,28.7
1963-01-01,26.7
1963-02-01,27.3
1963-03-01,27.9
1963-04-01,28.4
1963-05-01,28.5
1963-06-01,29
1963-07-01,29.1
1963-08-01,29.3
1963-09-01,29.6
1963-10-01,29.6
1963-11-01,29.8
1963-12-01,29.6
1964-01-01,29.5
1964-02-01,29.3
1964-03-01,29.5
1964-04-01,29.8
1964-05-01,30
1964-06-01,30.2
1964-07-01,30.2
1964-08-01,30.1
1964-09-01,30
1964-10-01,30
1964-11-01,30.3
1964-12-01,30.5
1965-01-01,30.5
1965-02-01,30
1965-03-01,30
1965-04-01,29.7
1965-05-01,29.9
1965-06-01,30.2
1965-07-01,30.3
1965-08-01,29.6
1965-09-01,29.3
1965-10-01,29.4
1965-11-01,29.3
1965-12-01,29.1
1966-01-01,28.3
1966-02-01,28.1
1966-03-01,28.4
1966-04-01,28.9
1966-05-01,29
1966-06-01,29.1
1966-07-01,29.6
1966-08-01,30.1
1966-09-01,29.6
1966-10-01,29.8
1966-11-01,29.4
1966-12-01,28.1
1967-01-01,27.8
1967-02-01,28.1
1967-03-01,28.6
1967-04-01,29.3
1967-05-01,29.9
1967-06-01,30.2
1967-07-01,30.8
1967-08-01,30.8
1967-09-01,31.1
1967-10-01,31.1
1967-11-01,31
1967-12-01,30.8
1968-01-01,31
1968-02-01,30.5
1968-03-01,NA
1968-04-01,31.1
1968-05-01,31.2
1968-06-01,NA
1968-07-01,NA
1968-08-01,NA
1968-09-01,31.2
1968-10-01,NA
1968-11-01,NA
1968-12-01,29.3
1969-01-01,28.5
1969-02-01,30.2
1969-03-01,32.2
1969-04-01,32.3
1969-05-01,31.3
1969-06-01,31.6
1969-07-01,31.3
1969-08-01,30.9
1969-09-01,29.9
1969-10-01,31
1969-11-01,30.8
1969-12-01,30.5
1970-01-01,29.7
1970-02-01,29
1970-03-01,29
1970-04-01,29.9
1970-05-01,31.4
1970-06-01,32.5
1970-07-01,32.5
1970-08-01,31.8
1970-09-01,31.4
1970-10-01,32.1
1970-11-01,32.6
1970-12-01,32.8
1971-01-01,32
1971-02-01,31.6
1971-03-01,32
1971-04-01,32.9
1971-05-01,33.8
1971-06-01,34.2
1971-07-01,34
1971-08-01,33.7
1971-09-01,33.4
1971-10-01,33.4
1971-11-01,33
1971-12-01,32.1
1972-01-01,31.5
1972-02-01,30.8
1972-03-01,31.1
1972-04-01,31.9
1972-05-01,32.9
1972-06-01,33.5
1972-07-01,33.7
1972-08-01,33.7
1972-09-01,34
1972-10-01,34.5
1972-11-01,34.7
1972-12-01,34.4
1973-01-01,33.8
1973-02-01,33.7
1973-03-01,34
1973-04-01,35.1
1973-05-01,36.1
1973-06-01,36.6
1973-07-01,36.7
1973-08-01,36.3
1973-09-01,36
1973-10-01,35.5
1973-11-01,34.8
1973-12-01,33.7
1974-01-01,32
1974-02-01,30.8
1974-03-01,30.6
1974-04-01,32
1974-05-01,34.3
1974-06-01,36.6
1974-07-01,38.3
1974-08-01,39.5
1974-09-01,40.7
1974-10-01,41.7
1974-11-01,42.4
1974-12-01,41.4
1975-01-01,40.4
1975-02-01,40
1975-03-01,40.5
1975-04-01,41.4
1975-05-01,42.6
1975-06-01,44.2
1975-07-01,45.9
1975-08-01,46.7
1975-09-01,46.9
1975-10-01,46.9
1975-11-01,46
1975-12-01,44.8
1976-01-01,43.3
1976-02-01,43.4
1976-03-01,45.2
1976-04-01,47.7
1976-05-01,50.2
1976-06-01,51.9
1976-07-01,53.2
1976-08-01,53.8
1976-09-01,53.9
1976-10-01,53.9
1976-11-01,53.6
1976-12-01,53.3
1977-01-01,53.2
1977-02-01,53.6
1977-03-01,54.7
1977-04-01,56.2
1977-05-01,57.3
1977-06-01,57.6
1977-07-01,57.1
1977-08-01,55.8
1977-09-01,54.6
1977-10-01,53.3
1977-11-01,52.4
1977-12-01,51.1
1978-01-01,50.8
1978-02-01,50.9
1978-03-01,51.6
1978-04-01,53.1
1978-05-01,55.3
1978-06-01,57.3
1978-07-01,58.7
1978-08-01,58.9
1978-09-01,58.7
1978-10-01,58.5
1978-11-01,58.3
1978-12-01,58.1
1979-01-01,58
1979-02-01,57.9
1979-03-01,58.5
1979-04-01,59.9
