"Date","CUUR0000SEHE"
1935-03-01,5.9
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,5.4
1935-08-01,NA
1935-09-01,NA
1935-10-01,5.7
1935-11-01,NA
1935-12-01,NA
1936-01-01,5.8
1936-02-01,NA
1936-03-01,NA
1936-04-01,5.8
1936-05-01,NA
1936-06-01,NA
1936-07-01,5.6
1936-08-01,NA
1936-09-01,5.8
1936-10-01,NA
1936-11-01,NA
1936-12-01,5.9
1937-01-01,NA
1937-02-01,NA
1937-03-01,6
1937-04-01,NA
1937-05-01,NA
1937-06-01,5.8
1937-07-01,NA
1937-08-01,NA
1937-09-01,5.9
1937-10-01,NA
1937-11-01,NA
1937-12-01,6
1938-01-01,NA
1938-02-01,NA
1938-03-01,6
1938-04-01,NA
1938-05-01,NA
1938-06-01,5.7
1938-07-01,NA
1938-08-01,NA
1938-09-01,5.8
1938-10-01,NA
1938-11-01,NA
1938-12-01,5.9
1939-01-01,NA
1939-02-01,NA
1939-03-01,5.9
1939-04-01,NA
1939-05-01,NA
1939-06-01,5.5
1939-07-01,NA
1939-08-01,NA
1939-09-01,5.7
1939-10-01,NA
1939-11-01,NA
1939-12-01,5.9
1940-01-01,NA
1940-02-01,NA
1940-03-01,6
1940-04-01,NA
1940-05-01,NA
1940-06-01,5.8
1940-07-01,NA
1940-08-01,NA
1940-09-01,5.9
1940-10-01,NA
1940-11-01,NA
1940-12-01,6.1
1941-01-01,6.1
1941-02-01,6.1
1941-03-01,6.1
1941-04-01,6.1
1941-05-01,6.1
1941-06-01,6.1
1941-07-01,6.3
1941-08-01,6.4
1941-09-01,6.5
1941-10-01,6.5
1941-11-01,6.5
1941-12-01,6.5
1942-01-01,6.6
1942-02-01,6.6
1942-03-01,6.6
1942-04-01,6.5
1942-05-01,6.6
1942-06-01,6.6
1942-07-01,6.8
1942-08-01,6.7
1942-09-01,6.7
1942-10-01,6.7
1942-11-01,6.7
1942-12-01,6.7
1943-01-01,6.9
1943-02-01,6.9
1943-03-01,7
1943-04-01,7
1943-05-01,7
1943-06-01,7
1943-07-01,7
1943-08-01,7
1943-09-01,7
1943-10-01,7
1943-11-01,7
1943-12-01,7.2
1944-01-01,7.2
1944-02-01,7.4
1944-03-01,7.3
1944-04-01,7.3
1944-05-01,7.3
1944-06-01,7.3
1944-07-01,7.3
1944-08-01,7.3
1944-09-01,7.3
1944-10-01,7.3
1944-11-01,7.3
1944-12-01,7.3
1945-01-01,7.3
1945-02-01,7.4
1945-03-01,7.4
1945-04-01,7.3
1945-05-01,7.4
1945-06-01,7.4
1945-07-01,7.5
1945-08-01,7.6
1945-09-01,7.5
1945-10-01,7.5
1945-11-01,7.5
1945-12-01,7.5
1946-01-01,7.6
1946-02-01,7.6
1946-03-01,7.6
