"Date","CWSR0000SAA1"
1947-01-01,40.7
1947-02-01,41
1947-03-01,41.3
1947-04-01,41.4
1947-05-01,41.4
1947-06-01,41.5
1947-07-01,41.6
1947-08-01,41.6
1947-09-01,41.7
1947-10-01,41.9
1947-11-01,42.1
1947-12-01,42.3
1948-01-01,42.6
1948-02-01,43.1
1948-03-01,43.4
1948-04-01,43.5
1948-05-01,44
1948-06-01,43.8
1948-07-01,44.1
1948-08-01,44.3
1948-09-01,44.4
1948-10-01,44.4
1948-11-01,44.4
1948-12-01,44.2
1949-01-01,43.5
1949-02-01,43.3
1949-03-01,43.1
1949-04-01,42.9
1949-05-01,42.8
1949-06-01,42.8
1949-07-01,42.7
1949-08-01,42.5
1949-09-01,42.2
1949-10-01,42
1949-11-01,42
1949-12-01,42.1
1950-01-01,42
1950-02-01,42
1950-03-01,41.9
1950-04-01,42
1950-05-01,41.9
1950-06-01,41.9
1950-07-01,42
1950-08-01,42.3
1950-09-01,42.8
1950-10-01,43.3
1950-11-01,43.4
1950-12-01,43.8
1951-01-01,44.4
1951-02-01,45
1951-03-01,45.2
1951-04-01,45.3
1951-05-01,45.6
1951-06-01,45.9
1951-07-01,45.9
1951-08-01,46.1
1951-09-01,47
1951-10-01,47.1
1951-11-01,46.9
1951-12-01,47
1952-01-01,46.8
1952-02-01,46.5
1952-03-01,46.4
1952-04-01,46.3
1952-05-01,46.2
1952-06-01,46.3
1952-07-01,46.3
1952-08-01,46.3
1952-09-01,46
1952-10-01,45.9
1952-11-01,45.7
1952-12-01,45.6
1953-01-01,45.7
1953-02-01,45.8
1953-03-01,45.8
1953-04-01,45.9
1953-05-01,45.9
1953-06-01,45.8
1953-07-01,45.9
1953-08-01,45.9
1953-09-01,45.8
1953-10-01,45.8
1953-11-01,45.9
1953-12-01,45.8
1954-01-01,45.9
1954-02-01,45.8
1954-03-01,45.7
1954-04-01,45.7
1954-05-01,45.9
1954-06-01,45.7
1954-07-01,45.6
1954-08-01,45.5
1954-09-01,45.4
1954-10-01,45.3
1954-11-01,45.3
1954-12-01,45.3
1955-01-01,45.1
1955-02-01,45.1
1955-03-01,45.1
1955-04-01,45.1
1955-05-01,45.1
1955-06-01,45.1
1955-07-01,45.1
1955-08-01,45.1
1955-09-01,45.1
1955-10-01,45.2
1955-11-01,45.1
1955-12-01,45.2
1956-01-01,45.3
1956-02-01,45.5
1956-03-01,45.5
1956-04-01,45.5
1956-05-01,45.6
1956-06-01,45.9
1956-07-01,46
1956-08-01,46
1956-09-01,46.1
1956-10-01,46.1
1956-11-01,46.1
1956-12-01,46.2
1957-01-01,46.3
1957-02-01,46.4
1957-03-01,46.5
1957-04-01,46.5
1957-05-01,46.5
1957-06-01,46.5
1957-07-01,46.5
1957-08-01,46.5
1957-09-01,46.5
1957-10-01,46.5
1957-11-01,46.5
1957-12-01,46.6
1958-01-01,46.7
1958-02-01,46.7
1958-03-01,46.6
1958-04-01,46.6
1958-05-01,46.5
1958-06-01,46.5
1958-07-01,46.3
1958-08-01,46.3
1958-09-01,46.1
1958-10-01,46
1958-11-01,46.1
1958-12-01,46.1
1959-01-01,46.2
1959-02-01,46.1
1959-03-01,46.1
1959-04-01,46.2
1959-05-01,46.2
1959-06-01,46.2
1959-07-01,46.2
1959-08-01,46.5
1959-09-01,46.4
1959-10-01,46.3
1959-11-01,46.4
1959-12-01,46.4
1960-01-01,46.5
1960-02-01,46.5
1960-03-01,46.6
1960-04-01,46.8
1960-05-01,46.8
1960-06-01,46.9
1960-07-01,47.1
1960-08-01,47.3
1960-09-01,47.8
1960-10-01,47.7
1960-11-01,47.6
1960-12-01,47.6
1961-01-01,47.7
1961-02-01,47.7
1961-03-01,47.7
1961-04-01,47.7
1961-05-01,47.7
1961-06-01,47.6
1961-07-01,47.7
1961-08-01,47.6
1961-09-01,47.6
1961-10-01,47.7
1961-11-01,47.7
1961-12-01,47.6
1962-01-01,47.7
1962-02-01,47.8
1962-03-01,47.8
1962-04-01,47.8
1962-05-01,47.8
1962-06-01,47.9
1962-07-01,48
1962-08-01,47.9
1962-09-01,48.1
1962-10-01,48.1
1962-11-01,48.1
1962-12-01,48.2
1963-01-01,48.2
1963-02-01,48.3
1963-03-01,48.3
1963-04-01,48.3
1963-05-01,48.3
1963-06-01,48.5
1963-07-01,48.6
1963-08-01,48.8
1963-09-01,48.7
1963-10-01,48.8
1963-11-01,48.9
1963-12-01,49
1964-01-01,49
1964-02-01,48.9
1964-03-01,48.9
1964-04-01,49.1
1964-05-01,49.2
1964-06-01,49.4
1964-07-01,49.3
1964-08-01,49.4
1964-09-01,49.4
1964-10-01,49.2
1964-11-01,49.3
1964-12-01,49.4
1965-01-01,49.5
1965-02-01,49.5
1965-03-01,49.5
1965-04-01,49.5
1965-05-01,49.6
1965-06-01,49.7
1965-07-01,49.7
1965-08-01,49.9
1965-09-01,49.9
1965-10-01,50.1
1965-11-01,50.3
1965-12-01,50.4
1966-01-01,50.6
1966-02-01,50.6
1966-03-01,50.7
1966-04-01,50.8
1966-05-01,50.9
1966-06-01,51.1
1966-07-01,51.1
1966-08-01,51.2
1966-09-01,51.5
1966-10-01,51.5
1966-11-01,51.7
1966-12-01,52
1967-01-01,52.1
1967-02-01,52.2
1967-03-01,52.4
1967-04-01,52.5
1967-05-01,52.7
1967-06-01,52.9
1967-07-01,53.2
1967-08-01,53.4
1967-09-01,53.5
1967-10-01,53.5
1967-11-01,53.6
